I fucking hate him.	I hate him so much.	1
Fellow demons, welcome to Evil-con 2011.	dear demons, welcome to Evil-Conu 2011.	1
You seem anxious, Mr. Nettinger.	you seem preoccupied.	0
The fire lights the poet's satyrish features from below.	the light of the fire illuminates the poet's satyr features.	1
Call me when you get this.	call me when you hear this.	1
This was revenge... ...of a much more brutal,cold-blooded nature.	a very brutal, cold-blooded revenge.	1
Listen to me. Just go look for Paige, okay?	listen, you go look for Paige, okay?	1
And we just have to discuss when that is.	... that we have to discuss.	0
I'm not watching cooking and cleaning.	I didn't come looking for cooking and cleaning.	1
34 In the light of all the foregoing, the first complaint relied on by the Commission in support of its action must be rejected as unfounded.	88 Consequently, the second part of the first plea and the plea in full must also be rejected.	0
Dropping.	it's dropping.	1
Honor medals Merai's.	my medals.	0
Unable to create Active Directory MSMQ site link %1, hr- %2!lx!h	the link between Active Directory and Message Queuing (MSMQ)% 1 could not be created, hr-% 2! LX! H.	1
If I don't watch you, you'll run away.	if I'm not looking at you, you'll run away.	1
If only for one philosophical reason.	just for one philosophical reason.	1
"Uh-huh."	"hmm."	1
Wow! A super-Powers drug you can just rub into your skin?	wow, a super-capable drug that you can rub into your skin!	1
It hurts me.	it hurts!	0
I beg your pardon...!	I beg you!	0
The interesting thing is that in my dream the general was you.	interestingly, you were the general in my dream.	1
I have to see the King.	I have to meet the king.	1
And are you reading my mind?	are you reading that?	0
Gibbon's "Decline and Fall of the Roman Empire" might be one.	for example, Gibbon's "The Fall and Fall of the Roman Empire."	1
Get some sleep, Hal.	go to sleep, Hal.	1
The incidents, places My friend, we cannot keep this a secret any longer.	my friend's place, we can't keep it a secret any longer.	1
Sir, Evers' pulse, respiration and GSR are maxing out.	the respiration and pulse are stabilized.	0
In patients with psoriatic arthritis, anti-adalimumab antibodies were identified in 38/376 subjects (10%) treated with adalimumab.	in patients with psoriatic arthritis, antibodies against adalimumab were identified in 38 out of 376 subjects (10%), treated adalimumab.	1
Of course I'm frozen.	of course, I'm freezing.	1
And Hurley, in turn, gets John Locke a job as a substitute teacher at this school.	and Hurley, for a change, got John Locke the job of a substitute teacher at the school.	1
I wanted some cookies but I fell.	I have cookies.	0
Oh, I'm sorry. Would you mind holding a minute?	I'm holding it.	0
Liz Krest was wearing a white linen frock with a black belt and a black and white handkerchief round her neck.	Liz Krest wore a white dress with black tape and a black-and-white scarf around her neck.	1
And it looks to us like it's still in this town.	and it seems to us that they're still in this city.	1
Can you fix radiators?	can you fix it?	0
Oh, it's a rhetorical question, pal.	it wasn't a rhetorical question.	0
Like he had a secret or something.	like he had a secret.	1
You're either an artist or you're not.	and you're an artist, or you're not an artist.	0
No gas out here, he thought.	gas, gas.	0
In accordance with Article 9(1) and (2) of the regulation:	in accordance with Article 2 (1) of this Regulation:	0
Like asking for comfort from fire... Orfire from ice...	it's like asking for comfort after the fire... or fire after ice...	1
A car wreck?	car accident?	1
The result of that was pretty dramatic.	that's the result.	0
I see your intestines and intentions.	I see your guts and your intentions.	1
Well, I do sense a change in you, Tim, maybe a little French-Canadian influence.	I see a change in you, Tim, maybe a little French-Canadian influence.	1
"Who is that old fellow?" "Old fellow?!" cried Sir Basil, "Why, that is Admiral Baldwin, who is forty and no more."	"no!" Cried Duane.	0
You look like a corpse Because I'm a blood donor Why do you do it?	I'm a donor.	0
Some are useful, some aren't.	some are sick, some hurt.	0
I should've protected you.	I should have protected you better.	1
Monica, you know she was quite hysterical at the death of Leroy.	Monica, you know she was hysterical after LeRoy died.	1
She can't watch that movie.	he can't watch the movie.	1
No, I tried that.	yet I tried.	0
I can't stand it any longer.	I can't stand for it.	0
'You either drink too much or you've been out in the sun too long, Zagorri,' Echon, a thin, sun-dried man in a dark blue robe scoffed.	"either you drank too much, or you were in the sun for a long time, Zagni," Echon sniffed, a slim, dark man wearing a dark blue robe.	1
Born to seek vengeance.	born to find revenge.	1
To meet the objectives in paragraph 135, an entity shall consider all the following:	the application referred to in paragraph 1 shall contain the following information:	0
I've figured out a way to get us out of here.	I figured out how to get us out of here.	1
First quarter has only just begun.	a quarter.	0
Damn dirty bastards! - Fucking dirty bastards!	goddamn bastards!	1
And he's working on it very hard.	and it's always very good.	0
Patient, one Rachel Solando, escaped sometime in the last 24 hours.	Rachel Solando, she's escaped sometime in the last 24 hours.	1
We know the enemy's still here somewhere, so... Captain tells us we have to stay and hold the trench, so... ...we stay and hold the trench.	hold, hold!	0
I don't wanna get killed!	I don't want to be killed.	1
Seems long ago.	it seems a long time ago.	1
Eat in the finest restaurants.	it's my finest tree in the world.	0
Joe, tell the boy we have a guest.	Joe, tell the butler we have a guest.	1
It's a bad idea.	it's not bad. It's not bad.	0
Especially since you're You mean... because I'm Japanese.	especially because you want to say...... because I'm Japanese.	1
What, what happened?	what, what, what, what?	0
You seem anxious, Mr. Nettinger.	you seem distracted.	0
The explosion was caused by...	the explosion was due...	1
That just slipped out... But I guess.	you slipped.	0
That was a big mess.	it was a really big mess.	1
Are you sure you don't?	are you sure?	1
But right now I just need you to be supportive.	but right now I need you to support me.	1
I know you are.	I know you know I know him.	0
Remember what my grandma used to say:	I remember what my grandma used to say.	1
you have a husnd. and I think about...You... when I'm with him.	I think I have to think.	0
I'm not afraid of you.	I'm not afraid of you!	0
And he can't get anywhere near the machine shop.	he can't go anywhere near the shop.	1
Don't open the door. Whatever you do, don't open it.	the door didn't open; it was open, not open.	0
I'm here to talk about getting Tommy back with his mom.	I'm getting in.	0
Aid shall be paid at the written request of the interested party and on presentation of an aid certificate on which the relevant entries have been duly made.	the aid shall be paid on the basis of a written application and the presentation of the aid certificate, on which the relevant data is duly indicated.	1
I don't know what I'm supposed to say.	I'm supposed to be somewhere.	0
This consolidates the free exercise of parliamentary mandates, a principle which needs, in due course, to be fully enshrined in the Constitution.	it strengthens the free exercise of parliamentary mandates, a principle that should be fully embedded in the constitution at the appropriate time.	1
Well, she's not my wife.	that's not my wife.	1
Let's go through everything, phone logs, e-mail.	we'll go through everything, phone records, e-mails.	1
We eat with the mud Marines.	we eat together with muddy Marines.	1
Come on, ma.	come on, Mom.	1
And I'm sorry you had to hear that, girl.	I'm sorry you had to hear this.	1
It-it'll take a few weeks, but I think I can cure this kid.	I have a cure.	0
Then what's she doing on Earth ?	what does he do on earth then?	1
In accordance with Article 9(1) and (2) of the regulation:	in accordance with the instructions Duration:	0
Yeah, you know what, I got an army-navy store Up in flushing, And they're kind of expecting a shipment here.	yeah, you know, I've got an army-wide store in Flushing, and they're just waiting for the shipment.	1
The tunnel or the roof?	the tunnel!	0
Billy, we have got to talk.	Billy, we need to talk.	1
A limited Turkish strike into northern Iraq would probably elicit little reaction beyond public condemnation and rhetorical assertions of Iraqi sovereignty.	a limited Turkish intervention in northern Iraq is likely to trigger only a small response, not counting public condemnation and rhetorical exercises on Iraqi sovereignty.	1
She said she'd look into it.	she said she'd check it out.	1
They are such humble, modest creatures, who need only a sip of water and a few berries in order to live and soar into the heavens.	they are such humble and humble beings that need only a little bit of water and a few berries to live and float in the sky.	0
Did you steal it?	and will you steal it?	0
Babies, come on.	come on, come on. Come on.	0
What, what happened?	C-What, what, what?	0
The builder had been a man alone.	the builder was alone.	1
Hey, what's up with Bones?	hey, what's wrong with Bones?	1
You miss sex, you mean.	you mean you're missing sex.	1
You promised, he's mine!	you promised he would be mine, Jamucho!	1
In 1996 and 1997, World Chess Champion Gary Kasparov played a pair of matches against an IBM computer named “Deep Blue.”	in 1996 and 1997, the world's chess champion, Garri Kasparov, played two games against a IBM computer called "Deep Blue."	1
Yeah yeah, a long time.	it's a long, long time.	0
What, what happened?	what if, what if, what if?	0
So, why did you come to the Da Lisi?	then why did you go to Da Lisi?	1
I still think he deserves more time.	he still deserves time.	1
